#,单词,音标,解释,笔记
709,"Dutch","英:/dʌtʃ/ 美:/dʌtʃ/","- adj. 荷兰人的;荷兰的;荷兰语的
- n. 荷兰语
- 荷兰人
- 酒后之勇
- 各付各的账；平摊费用；实行AA制",
710,"duvet","英:/ˈdu:vei/ 美:/'duve/","n. 羽绒被",
711,"egotistical","英:/ˌi:ɡə'tistik/ 美:/ ˌiɡəˈtɪstɪkl../","adj. 自我本位的, 任性的",
712,"elastic","英:/ɪ'læstɪk/ 美:/ɪ'læstɪk/","- adj. 有弹性的；易伸缩的；灵活的
- n. 松紧带；橡皮圈


副 词:  
elastically",
713,"elbows","/'elbəu/","- n. 急弯；弯头；肘；（沙发、椅子等的）扶手（elbow的复数形式）
- v. 用肘推；变成肘状（elbow的第三人称单数形式）",
714,"electric circuit","","电路（等于circuit）",
715,"elegant","英:/'elɪg(ə)nt/ 美:/'ɛləgənt/","- adj. 优美的，文雅的；讲究的
- 简洁的，简练的

副 词:  
elegantly",
716,"elevation","英:/ˌelɪ'veɪʃ(ə)n/ 美:/ˌɛlɪ'veʃən/","- n. 提升, 提高, 晋级
- 海拔
- (建筑物的)正视图, 立体图",
717,"elite","英:/eɪ'liːt/ 美:/ɪˈlit/","n. 〈法〉精华,精锐,中坚分子

形容词:  
elite",
718,"emphasis","英:/'emfəsɪs/ 美:/'ɛmfəsɪs/","n. 强调, 重点",
719,"end up","","结束,告终",
720,"engage","英:/ɪn'geɪdʒ/ 美:/ɪn'ɡedʒ/","- vt. 雇佣；吸引，占用；使订婚；使参加；预定
- vi. 答应，保证；从事；交战；啮合


时 态:  
engaged, engaging, engages",
721,"entrepreneur","英:/ˌɒntrəprə'nɜː/ 美:/ˌɑntrəprə'nɝ/","- n. 〈法〉企业家
- 主办人

形容词:  
entrepreneurial

名 词:  
entrepreneurialism 

名 词:  
entrepreneurship",
722,"envious","英:/'envɪəs/ 美:/'ɛnvɪəs/","- adj. 满怀嫉妒的
- adv. 满怀嫉妒地

副 词:  
enviously",
723,"ephemeral","英:/ɪ'fem(ə)r(ə)l/ 美:/ə'fɛmərəl/","adj. 短暂的,瞬息的",
724,"equator","英:/ɪ'kweɪtə/ 美:/ɪ'kwetɚ/","n. 赤道",
725,"equip","英:/ɪ'kwɪp/ 美:/ɪ'kwɪp/","vt. 装备，配备


时 态:  
equipped, equipping, equips",
726,"errand","英:/'er(ə)nd/ 美:/ˈɛrənd/","n. 差事；差使；使命",
727,"escalation","/ˌeskə'leiʃən/","n. 扩大,增加",
728,"ethically","/'eθikli/","adv. 伦理(学)上",
729,"ethnicity","英:/eθ'nɪsɪtɪ/ 美:/ɛθ'nɪsəti/","n. 种族地位;种族特点;种族渊源",
730,"evict","英:/ɪ'vɪkt/ 美:/ɪ'vɪkt/","vt. 驱逐；逐出


时 态:  
evicted, evicting, evicts 

名 词:  
evictee

名 词:  
eviction

名 词:  
evictor",
731,"Ewrd","","n. 守望者（游戏“魔兽”中的角色）",
732,"excel","英:/ɪk'sel/ 美:/ɪk'sɛl/","- vt. 优于，胜过；擅长
- vi. 胜过他人；优秀

Excel微软公司生产的表格处理软件

时 态:  
excelled, excelling, excels",
733,"exhaust fan","","n. 排气扇；排风机；抽风机",
734,"expectancy","英:/ɪk'spekt(ə)nsɪ/ 美:/ɪk'spɛktənsi/","n. 期待;期望",
735,"explicit","英:/ɪk'splɪsɪt/ 美:/ɪk'splɪsɪt/","- adj. 详述的, 明确的, 明晰的
- 直言的, 毫不隐瞒的, 露骨的

副 词:  
explicitly",
736,"extinct","英:/ɪk'stɪŋkt/ 美:/ɪk'stɪŋkt/","- adj. 灭绝的，绝种的；熄灭的
- vt. [古]使熄灭",
737,"eyeliner","英:/ˈailainə/ 美:/'aɪlaɪnɚ/","n. 眼线膏，眼线笔",
738,"facilitate","英:/fə'sɪlɪteɪt/ 美:/fə'sɪlə'tet/","vt. 使便利, 减轻…的困难

时 态:  
facilitated, facilitating, facilitates 

名 词:  
facilitator",
739,"Fahrenheit","/'færən'haɪt/","n. 华氏温标",
740,"famine","英:/'fæmɪn/ 美:/'fæmɪn/","n. 饥荒；饥饿，奇缺",
741,"fancy dress","","n. 化装舞会所穿着的服装",
742,"fascinate","英:/'fæsɪneɪt/ 美:/'fæsə'net/","- vt. 使着迷, 使极感兴趣
- 慑住…使动弹不得

时 态:  
fascinated, fascinating, fascinates",
743,"fasten","英:/'fɑːs(ə)n/ 美:/'fæsən/","- vt. 系紧, 拴牢
- vt. & vi. 闩住

时 态:  
fastened, fastening, fastens 

名 词:  
fastener",
744,"faucet","英:/'fɔːsɪt/ 美:/ˈfɔsɪt/","n. 旋塞；插口",
745,"felt","英:/felt/ 美:/fɛlt/","- n. 毡；毡制品
- vi. 粘结
- vt. 使粘结；把…制成毡
- v. 感觉（feel的过去式）


时 态:  
felted, felting, felts 

形容词:  
felty",
746,"ferment","英:/fə'ment/ 美:/fɚ'mɛnt/","- n. 酵素；发酵；动乱
- vi. 发酵；动乱
- vt. 使发酵；使动乱；酝酿


时 态:  
fermented, fermenting, ferments  

名 词:  
fermentability

形容词:  
fermentable",
747,"fermentation","英:/fɜːmen'teɪʃ(ə)n/ 美:/ˌfɝmɛn'teʃən/","- n. 发酵
- 激动, 纷扰",
748,"ferris wheel","英:/ˈferis/ 美:/ˈfɛrɪs/","摩天轮

Ferris wheel弗累斯大转轮,大观览车",
749,"fertile","英:/'fɜːtaɪl/ 美:/'fɝtl/","adj. 多产的, 富饶的

名 词:  
fertileness",
750,"fibre","英:/'faibə/ 美:/ˈfaɪbɚ/","n. 纤维；纤维制品",
751,"fibula","英:/'fɪbjʊlə/ 美:/'fɪbjələ/","n. [医]腓骨；扣针，搭扣",
752,"fire drill","","n. 消防训练,火灾避难训练",
753,"flattery","英:/'flæt(ə)rɪ/ 美:/'flætəri/","n. 谄媚；奉承；恭维话",
754,"flea","英:/fliː/ 美:/fli/","- n. 跳蚤
- 爱财如命
- 没好气地(拒绝某人的要求)",
755,"fleece","英:/fliːs/ 美:/flis/","- n. 羊毛，绒头织物；羊毛制的覆盖物
- vt. 剪下羊毛；欺诈，剥削


时 态:  
fleeced, fleecing, fleeces",
756,"flour","英:/'flaʊə/ 美:/'flaʊɚ/","- n. 面粉；粉状物质
- vt. 撒粉于；把…磨成粉


时 态:  
floured, flouring, flours 

形容词:  
floury",
757,"foam","英:/fəʊm/ 美:/fom/","- n. 泡沫；水沫；灭火泡沫
- vi. 起泡沫；吐白沫；起着泡沫流动
- vt. 使起泡沫；使成泡沫状物


时 态:  
foamed, foaming, foams",
758,"forearm","英:/'fɔːrɑːm/ 美:/fɔrˈɑrm/","- n. 前臂
- vt. 预先武装；准备


时 态:  
forearmed, forearming, forearms",
759,"forecast","英:/'fɔːkɑːst/ 美:/'fɔrkæst/","vt. 预言, 预报

时 态:  
forecast, forecasted 
forecasting, forecasts 

名 词:  
forecaster",
760,"forget me not","","n. [植]勿忘我",
761,"formula","英:/'fɔːmjʊlə/ 美:/'fɔrmjələ/","n. 公式，准则；配方；婴儿食品


形容词:  
formulaic

复 数: 
formulae",
762,"fortunate","英:/'fɔːtʃ(ə)nət/ 美:/'fɔrtʃənət/","adj. 交好运的，带来好运的；幸运的

副 词:  
fortunately",
763,"fracture","英:/'fræktʃə/ 美:/'fræktʃɚ/","- n. 破裂，断裂；骨折
- vi. 破裂；折断
- vt. 使破裂


时 态:  
fractured, fracturing, fractures",
764,"frisbee","英:/'frizbi:/ 美:/ˈfrɪzbi/","n. （投掷游戏用的）飞盘

Frisbeen. 飞盘（塑料投掷玩具）",
765,"gadget","英:/'gædʒɪt/ 美:/'gædʒɪt/","n. 小机械, 小器具

副 词:  
gadgety",
766,"gallery","英:/'gæl(ə)rɪ/ 美:/'gæləri/","- n. 走廊；画廊；地道；旁听席
- vt. 在…修建走廊；在…挖地道
- vi. 挖地道


形容词:  
galleried",
767,"gambling","英:/ˈgæmblɪŋ/ 美:/'gæmblɪŋ/","- n. 赌博；投机
- v. 赌博；打赌（gamble的ing形式）",
768,"garbage","英:/'gɑːbɪdʒ/ 美:/'ɡɑrbɪdʒ/","n. 垃圾；废物",
769,"gasp","英:/gɑːsp/ 美:/ɡæsp/","- vi. 喘息；喘气；渴望
- vt. 气喘吁吁地说；喘着气说话
- n. 喘气


时 态:  
gasped, gasping, gasps",
770,"gauge","英:/geɪdʒ/ 美:/gedʒ/","- n. 厚度, 直径
- 测量仪表
- 规格, 尺度
- vt. 计量, 度量
- 估计, 判断

时 态:  
gaugedalso gaged 
gauginggaging 
gaugesgages  

形容词:  
gaugeable",
771,"geology","英:/dʒɪ'ɒlədʒɪ/ 美:/dʒɪ'ɑlədʒi/","- n. 地质学
- 地质情况

形容词:  
geologic

副 词:  
geologically

名 词:  
geologist",
772,"gerund","英:/'dʒerʌnd/ 美:/'dʒɛrənd/","n. 动名词

形容词:  
gerundial",
773,"get lost","","▪ I. get lost spoken phrase
    1. used for telling someone rudely to go away
        Thesaurus: ways of telling someone to go awaysynonym 
    2. used for telling someone rudely that you are annoyed by something that they have just said
        ‘Why don’t you ask Jimmy to come too?’ ‘Get lost! He’s horrible!’
        Thesaurus: impolite expressionssynonym 
        Main entry: lost
▪ II. get/become/lost (in something) phrase
    to be forgotten or not be dealt with because there are many other things to think about at the same time
        These are very important issues that must not get lost in all the details.
        Thesaurus: forgetful and forgetfulnesssynonym 
        Main entry: lost",
774,"glittery","英:/'ɡlɪtərɪ/ 美:/'ɡlɪtəri/","adj. 闪光的,闪烁的",
775,"glossary","英:/'glɒs(ə)rɪ/ 美:/'ɡlɑsəri/","n. (书尾的)词汇表, 难词汇编

形容词:  
glossarial

名 词:  
glossarist",
776,"go on strike","","罢工，举行罢工",
777,"goal","英:/gəʊl/ 美:/ɡol/","- n. 球门
- 进球得的分
- 努力的对象, 目标",
778,"goggle","英:/'gɒg(ə)l/ 美:/'ɡɑɡl/","- vi. 眼珠转动；瞪眼看
- n. 护目镜，风镜；眼睛睁视
- adj. 瞪眼的，睁眼的
- vt. 使瞪眼；使眼珠转动


时 态:  
goggled, goggling, goggles",
779,"Google","/gu:gl/","著名搜索引擎www.google.com",
780,"goulash","英:/'guːlæʃ/ 美:/ˈɡuˌlɑʃ/","n. 菜炖牛肉",
781,"gown","英:/gaʊn/ 美:/ɡaʊn/","- n. 长袍，长外衣；法衣；睡袍；礼服
- vt. 使穿睡衣


时 态:  
gowned, gowning, gowns",
782,"grain","英:/greɪn/ 美:/ɡren/","- n. 谷粒, 谷物, 谷类
- 小的硬粒
- (天然)纹理

时 态:  
grained, graining, grains 

名 词:  
grainer",
783,"granny","英:/'grænɪ/ 美:/ˈɡræni/","n. 奶奶；外婆",
784,"Grape","英:/greɪp/ 美:/ɡrep/","n. 葡萄",
785,"green onion","","叶用葱",
786,"gruel","英:/'grʊəl/ 美:/'ɡruəl/","- vt. 使极度疲劳；累垮
- n. 稀粥",
787,"grumble","英:/'grʌmb(ə)l/ 美:/'ɡrʌmbl/","- vi. 抱怨；嘟囔
- n. 怨言
- vt. 喃喃地说出
- adj. 抱怨地表示；嘟囔地说


时 态:  
grumbled, grumbling, grumbles 

名 词:  
grumbler

副 词:  
grumblingly",
788,"gutter","英:/'gʌtə/ 美:/'gʌtɚ/","- n. 排水沟；槽；贫民区
- vi. 流；形成沟
- vt. 开沟于…；弄熄
- adj. 贫贱的；粗俗的；耸人听闻的


时 态:  
guttered, guttering, gutters",
789,"gymnasium","英:/dʒɪm'neɪzɪəm/ 美:/dʒɪmˈneziəm/","n. 健身房, 体育馆",
790,"ham it up","","ham it up informal phrase
  to act or behave in an artificial way with too much expression in your voice and movements, especially in order to make people laugh
      Thesaurus: to make someone laughsynonym 
      Main entry: ham",
791,"hankie","英:/'hæŋkɪ/ 美:/ˈhæŋki/","n. [口]手帕（等于handkerchief）",
792,"hardhead","英:/'hɑ:dhed/ 美:/ˈhɑrdˌhɛd/","n. 硬头（硬质巴比合金）；傻瓜",
793,"hassle","英:/'hæs(ə)l/ 美:/'hæsl/","- vt. 找麻烦，搅扰；与…争辩；使…烦恼
- n. 困难，麻烦；激战
- vi. 争论，争辩


时 态:  
hassled, hassling, hassles",
794,"heal","英:/hiːl/ 美:/hil/","- vt. 治愈，痊愈；和解
- vi. 痊愈


时 态:  
healed, healing, heals 

形容词:  
healable",
795,"herb","英:/hɜːb/ 美:/ɝb/","n. 香草，药草


形容词:  
herby",
796,"herbicide","英:/'hɜːbɪsaɪd/ 美:/'ɝbɪsaɪd/","n. 灭草剂",
797,"hereby","英:/hɪə'baɪ/ 美:/ˌhɪr'baɪ/","adv. 以此方式，据此；特此",
798,"hesitation","英:/hezɪ'teɪʃn/ 美:/ˌhɛzə'teʃən/","- n. 犹豫, 踌躇, 不愿
- 犹豫(之事或行为)",
799,"hexagon","英:/'heksəg(ə)n/ 美:/'hɛksəɡɑn/","- n. 六角形，六边形
- adj. 成六角的；成六边的",
800,"hippo","英:/'hɪpəʊ/ 美:/ˈhɪpo/","n. 河马",
801,"hippopotamus","英:/ˌhɪpə'pɒtəməs/ 美:/ˌhɪpəˈpɑtəməs/","n. 河马",
802,"hiss","英:/hɪs/ 美:/hɪs/","- vi. 发出嘘声；发嘘声
- n. 嘘声；嘶嘶声


时 态:  
hissed, hissing, hisses 

名 词:  
hisser",
803,"homosexual","英:/ˌhɒmə(ʊ)'sekʃʊəl/ 美:/ˌhomə'sɛkʃuəl/","- n. 同性恋者
- adj. 同性恋的
- n. 同性恋关系",
804,"honor","英:/ˈɔnə/ 美:/'ɑnɚ/","- n. 信用；荣誉；头衔
- vt. 给…以荣誉；尊敬（等于honour）


时 态:  
honored, honoring, honors",
805,"hopscotch","英:/'hɒpskɒtʃ/ 美:/'hɑpskɑtʃ/","n. 跳房子

时 态:  
hopscotched, hopscotching, hopscotches",
806,"humanities","/hju:'mænitiz/","人文学科",
807,"hump","英:/hʌmp/ 美:/hʌmp/","- n. 动物背部的隆肉
- (使)恼怒
- 度过最长(或最艰难等)的阶段
- vt. 搬运(尤指背负)

时 态:  
humped, humping, humps 

形容词:  
humped",
808,"hydrogen","英:/'haɪdrədʒ(ə)n/ 美:/'haɪdrədʒən/","n. 氢


形容词:  
hydrogenous",
809,"hypothetical","英:/ˌhaɪpə'θetɪk(ə)l/ 美:/ˌhaɪpə'θɛtɪkl/","adj. 假设的，假定的；有待证实的

名 词:  
hypothetical

副 词:  
hypothetically",
810,"idiom","英:/'ɪdɪəm/ 美:/'ɪdɪəm/","n. 成语，习语；土话",
811,"idiomatic","英:/ˌɪdɪə'mætɪk/ 美:/ˌɪdɪə'mætɪk/","- adj. 符合语言习惯的,成语的
- 含有习语的
- adv. 符合语言习惯地
- n. 符合语言习惯

副 词:  
idiomatically",
812,"illegible","英:/ɪ'ledʒɪb(ə)l/ 美:/ɪ'lɛdʒəbl/","adj. 难辨认的;字迹模糊的

副 词:  
illegibly",
813,"immunisation","英:/ˌimju:nai'zeiʃən/ 美:/ˌɪmjʊnəˈzeʃən/","n. 免疫(immunization)",
814,"immutable","英:/ɪ'mjuːtəb(ə)l/ 美:/ɪ'mjutəbl/","adj. 不可改变的

副 词:  
immutably",
815,"implicit","英:/ɪm'plɪsɪt/ 美:/ɪm'plɪsɪt/","adj. 暗示的；盲从的；含蓄的


副 词:  
implicitly",
816,"improvise","英:/'ɪmprəvaɪz/ 美:/'ɪmprəvaɪz/","vt. & vi. 临时制作, 临时凑成

时 态:  
improvised, improvising, improvises 

名 词:  
improviser",
817,"impulses","/'ɪmpʌls/","- n. 冲动；[电]脉冲（impulse的复数）
- v. 推进；推动（impulse的第三人称单数）",
818,"incident","英:/'ɪnsɪd(ə)nt/ 美:/'ɪnsɪdənt/","- n. 事件，事变；插曲
- adj. 易发生的，伴随而来的；附带的；入射的",
819,"incognito","英:/ˌɪnkɒg'niːtəʊ/ 美:/ˌɪnkɑɡ'nito/","- adj. 微行的；改名的；隐名埋姓的
- adv. 隐姓埋名地
- n. 匿名者；微行者",
820,"incorporation","英:/in,kɔ:pə'reiʃən/ 美:/ɪnˌk ɔrpəˈreʃən/","- n. 团结
- 合并;编入
- 法人组织;公司",
821,"incubate","英:/'ɪŋkjʊbeɪt/ 美:/'ɪŋkjubet/","- vt. 孵化；温育；培养；逐渐发展
- vi. 孵化；酝酿
- n. 孵育物


时 态:  
incubated, incubating, incubates 

形容词:  
incubative",
822,"incubator","英:/'ɪŋkjʊbeɪtə/ 美:/'ɪŋkjubetɚ/","- n. 孵化器
- (用于放置早产婴儿的)恒温箱",
823,"infinitive","英:/ɪn'fɪnɪtɪv/ 美:/ɪn'fɪnətɪv/","- n. (动词)不定式
- adj. 不定式的",
824,"infinity","英:/ɪn'fɪnɪtɪ/ 美:/ɪn'fɪnəti/","- n. 无穷大, 无限大
- 无限远的点",
825,"inflammation","英:/ɪnflə'meɪʃ(ə)n/ 美:/'ɪnflə'meʃən/","n. 炎症",
826,"informercial","英:/ˌinfə'mə:ʃəl/ 美:/ˌɪnfɚˈmɚʃəl/","n. 商业信息片",
827,"infuse","英:/ɪn'fjuːz/ 美:/ɪn'fjuz/","- vt. 灌输,加入(一种特性)
- vt. & vi. 沏(茶),泡(草药)
- 把(某种素质)注入…；在…中注入(某种素质)

时 态:  
infused, infusing, infuses 

名 词:  
infuser",
828,"Inland Revenue","","n. 税务局,税收",
829,"inspiration","英:/ɪnspɪ'reɪʃ(ə)n/ 美:/ˌɪnspə'reʃən/","n. 灵感；妙计；吸气；鼓舞",
830,"inspire","英:/ɪn'spaɪə/ 美:/ɪn'spaɪɚ/","vt. 鼓舞；激发；启示；产生；使生灵感


时 态:  
inspired, inspiring, inspires 

名 词:  
inspirer",
831,"inspiring","英:/ɪn'spaɪərɪŋ/ 美:/ɪn'spaɪərɪŋ/","adj. 鼓舞人的;使人感兴趣的

副 词:  
inspiringly",
832,"insufficient","英:/ɪnsə'fɪʃ(ə)nt/ 美:/ˌɪnsə'fɪʃnt/","adj. 不足的,不够的

副 词:  
insufficiently",
833,"insult","英:/ɪn'sʌlt/ 美:/ɪn'sʌlt/","- vt. 侮辱, 冒犯
- n. 侮辱, 辱骂, 侮辱性的言论

时 态:  
insulted, insulting, insults 

名 词:  
insulter

副 词:  
insultingly",
834,"intensity","英:/ɪn'tensɪtɪ/ 美:/ɪn'tɛnsəti/","- n. 强烈, 剧烈
- (感情的)强烈程度",
835,"intercept","英:/ˌɪntə'sept/ 美:/ˌɪntɚ'sɛpt/","vt. 拦截, 截住, 截击

时 态:  
intercepted, intercepting, intercepts 

形容词:  
interceptive",
836,"internship","英:/'ɪntɜːnʃɪp/ 美:/'ɪntɝnʃɪp/","n. 〈美〉实习医师,实习医师期",
837,"intimate","英:/'ɪntɪmət/ 美:/'ɪntɪmət/","- adj. 亲密的；私人的；精通的；[婉]有性关系的
- n. 至交；知己
- vt. 暗示；通知；宣布


时 态:  
intimated, intimating, intimates 

副 词:  
intimately

名 词:  
intimation",
838,"intonation","英:/ɪntə'neɪʃ(ə)n/ 美:/ˌɪntə'neʃən/","n. 语调;说话的抑扬顿挫",
839,"intransitive","英:/ɪn'trænsɪtɪv/ 美:/ɪn'trænsətɪv/","adj. (动词)不及物的

副 词:  
intransitively",
840,"intrusion","英:/ɪn'truːʒ(ə)n/ 美:/ɪn'truʒn/","- n. 闯入；打扰
- (对某事的)干扰，干涉",
841,"inversion","英:/ɪn'vɜːʃ(ə)n/ 美:/ɪn'vɝʃən/","- n. 倒置,(尤指词序)倒装
- 转化
- (染色体的)倒位",
842,"investigate","英:/ɪn'vestɪgeɪt/ 美:/ɪn'vɛstɪɡet/","vt. 调查；审查

时 态:  
investigated，investigating，investigates 

形容词:  
investigable

形容词:  
investigatory",
843,"investigation","英:/ɪn,vestɪ'geɪʃ(ə)n/ 美:/ɪn,vɛstɪ'ɡeʃən/","- n. (正式的)调查，侦查
- 科学研究；学术研究",
844,"invoice","英:/'ɪnvɒɪs/ 美:/'ɪnvɔɪs/","- n. 发票；发货单；货物
- vt. 开发票；记清单


时 态:  
invoiced, invoicing, invoices",
845,"isolate","英:/'aɪsəleɪt/ 美:/'aɪsəlɪt/","- vt. 使孤立；使绝缘；使隔离
- n. 隔离种群
- vi. 孤立；隔离
- adj. 隔离的；孤立的


时 态:  
isolated, isolating, isolates 

名 词:  
isolator",
846,"itchy","英:/'ɪtʃɪ/ 美:/'ɪtʃi/","adj. 发痒的；渴望的


比较级:  
itchier, itchiest",
847,"ivory","英:/'aɪv(ə)rɪ/ 美:/'aɪvəri/","- n. 象牙；乳白色；长牙
- adj. 象牙制的；乳白色的",
848,"jasmine","英:/'dʒæzmɪn/ 美:/ˈdʒæzmɪn/","n. 茉莉；淡黄色",
849,"jelly herb","","",
850,"jog","英:/dʒɒg/ 美:/dʒɑɡ/","- vt. & vi. (使)慢走；慢跑
- vt. 轻敲，轻推
- n. 轻推
- 慢跑

时 态:  
jogged，jogging，jogs 

名 词:  
jogger",
851,"jogger","英:/'dʒɒgə/ 美:/'dʒɑɡɚ/","n. 慢跑者；[印刷]撞纸机",
852,"karate","英:/kə'rɑːtɪ/ 美:/kə'rɑti/","n. 空手道（日本的一种徒手武术）

karaten. 空手道",
853,"kayak","英:/'kaɪæk/ 美:/'kaɪæk/","n. 皮船；爱斯基摩小艇


时 态:  
kayaked, kayaking, kayaks",
854,"keen on","","",
855,"kefir","英:/kə'fɪ(ə)r/ 美:/kɛ'fɪr/","n. （俄）（由牛奶发酵而成的）克非尔",
856,"kennel","英:/'ken(ə)l/ 美:/'kɛnl/","- n. 狗屋；养狗场；阴沟；一群狗
- vt. 把…关进狗舍；宿于狗舍
- vi. 呆在狗舍里


时 态:  
kenneled, kennelled 
kenneling, kennelling 
kennels, kennels",
857,"ketchup","英:/'ketʃəp/ 美:/'kɛtʃəp/","n. 番茄酱",
858,"knob","英:/nɒb/ 美:/nɑb/","- n. (门、抽屉的)球形把手, 球形柄
- (收音机等的)旋钮
- 小块

形容词:  
knobbed

形容词:  
knobby",
859,"knock out","","敲空；击倒；打破；使筋疲力竭",
860,"Komodo dragon","","科摩多龙（世界上最巨大的蜥蜴）",
861,"ladle","英:/'leɪd(ə)l/ 美:/'ledl/","- vt. 不分对象予以赠送；以杓舀取
- n. 杓子；长柄杓；钢水包


时 态:  
ladled, ladling, ladles",
862,"landscape","英:/'læn(d)skeɪp/ 美:/'lænd'skep/","- n. 风景, 景色
- 风景画, 风景照

时 态:  
landscaped, landscaping, landscapes 

名 词:  
landscaper",
863,"layperson","英:/'leipə:sən/ 美:/ˈleˌpɚsən/","n. 外行

复 数: 
laypeople",
864,"league","英:/liːg/ 美:/lig/","- n. 联盟；社团；范畴
- vt. 使…结盟；与…联合
- vi. 结盟；团结


时 态:  
leagued, leaguing, leagues",
865,"lease","英:/liːs/ 美:/lis/","- n. 租约；租期；租赁物；租赁权
- vt. 出租；租得
- vi. 出租


时 态:  
leased, leasing, leases 

形容词:  
leasable

名 词:  
leaser",
866,"legend","英:/'ledʒ(ə)nd/ 美:/'lɛdʒənd/","n. 传奇；说明；图例；刻印文字",
867,"lemonade","英:/lemə'neɪd/ 美:/ˌlɛmə'ned/","n. 柠檬水",
868,"lens","英:/lenz/ 美:/lɛnz/","- n. 透镜, 镜头
- 眼睛中的水晶体

形容词:  
lensed",
869,"lettuce","英:/'letɪs/ 美:/'lɛtɪs/","- n. 莴苣, 生菜
- 生菜叶",
870,"liberate","英:/'lɪbəreɪt/ 美:/'lɪbə'ret/","vt. 解放；释放；放出


时 态:  
liberated, liberating, liberates 

名 词:  
liberator",
871,"liberated","/'libəreitid/","- adj. 被解放的；思想解放的
- (在社交和性关系上)无拘束的，放纵的",
872,"liftgate","英:/'liftɡeit/ 美:/ˈlɪftˌɡet/","n. 提升式门(如旅行车的后端车门)",
873,"ligament","英:/'lɪgəm(ə)nt/ 美:/'lɪɡəmənt/","n. 韧带；纽带，系带


形容词:  
ligamental",
874,"liquor","英:/'lɪkə/ 美:/'lɪkɚ/","- n. 酒，含酒精饮料；液体；烈酒；溶液
- vi. 喝酒，灌酒
- vt. 使喝醉


时 态:  
liquored, liquoring, liquors",
875,"logistics","英:/lə'dʒɪstɪks/ 美:/lə'dʒɪstɪks/","n. 后勤；物流",
876,"lollipop","英:/'lɒlɪpɒp/ 美:/'lɑlɪ'pɑp/","- n. 棒糖
- (用交通指挥牌让车辆暂停以便儿童安全通过马路的)交通纠察",
877,"loose change","","loose change UK  US  noun [uncountable]
  small coins that you have with you
      Thesaurus: general words for money, cash and coinshyponym",
878,"lorry","英:/'lɒrɪ/ 美:/'lɔri/","n. （英）卡车；货车；运料车",
879,"loyalty","英:/'lɒɪəltɪ/ 美:/'lɔɪəlti/","n. 忠心；忠诚；忠实",
880,"lunar calendar","","n. 阴历",
881,"lush","英:/lʌʃ/ 美:/lʌʃ/","- adj. 丰富的，豪华的；苍翠繁茂的
- vi. 喝酒
- n. 酒鬼；酒
- vt. 饮


比较级:  
lusher, lushest 

副 词:  
lushly

名 词:  
lushness",
882,"macaroni","英:/ˌmækə'rəʊnɪ/ 美:/ˌmækə'roni/","n. 通心面条；纨绔子弟；通心粉",
883,"majority","英:/mə'dʒɒrɪtɪ/ 美:/mə'dʒɔrəti/","n. 多数；[律]成年",
884,"makeup","英:/'meɪkʌp/ 美:/ˈmekˌʌp/","n. 天性, 化妆品, 补充, 虚构, 组成, 结构, 补考, 体格",
885,"manufacturer","英:/ˌmænjʊ'fæktʃ(ə)rə(r)/ 美:/ˌmænju'fæktʃərɚ/","n. 制造商, 制造厂",
886,"Maple","英:/'meɪp(ə)l/ 美:/'mepl/","n. 槭树, 枫树",
887,"marathon","英:/'mærəθ(ə)n/ 美:/'mærə,θɑn/","- n. 马拉松赛跑；耐力的考验
- adj. 马拉松式的；有耐力的
- vi. 参加马拉松赛跑",
888,"marine","英:/mə'riːn/ 美:/mə'rin/","- adj. 海的，海产的，海生的
- 海军的
- 海事的，海运的
- n. 水兵；海军陆战队士兵",
889,"masturbation","英:/ˌmæstə'beiʃən/ 美:/ˌmæstɚˈbeʃən/","n. 手淫",
890,"mature","英:/mə'tʃʊə/ 美:/mə'tʃʊr/","- adj. 成熟的；到期的；成年人的；充分考虑的
- vi. 到期；成熟
- vt. 使…成熟；使…长成；慎重作出


比较级:  
maturer, maturest 

副 词:  
maturely",
891,"maverick","英:/'mæv(ə)rɪk/ 美:/'mævərɪk/","- n. 没打烙印的动物；持不同意见的人
- vt. 用不正当手段获取
- adj. 未打烙印的；行为不合常规的
- vi. 迷途；背离",
892,"mayonnaise","英:/meɪə'neɪz/ 美:/'meənez/","n. 蛋黄酱",
893,"meadow","英:/'medəʊ/ 美:/'mɛdo/","n. 草地；牧场


形容词:  
meadowy",
894,"medal","英:/'med(ə)l/ 美:/'mɛdl/","n. 勋章，奖章；纪念章

MEDALabbr. Micro-mechanized Engineering Data Automated Logistics (自动化后勤用的) 微型机械化工程数据

时 态:  
medaledalso medalled 
medalingalso medalling 
medalsmedals   

形容词:  
medallic",
895,"melody","英:/'melədɪ/ 美:/'mɛlədi/","n. 旋律；歌曲；美妙的音乐",
896,"meningitis","英:/ˌmenɪn'dʒaɪtɪs/ 美:/'mɛnɪn'dʒaɪtɪs/","n. 脑膜炎

形容词:  
meningitic",
897,"mental","英:/'ment(ə)l/ 美:/'mɛntl/","- adj. 精神的, 头脑的, 心理的, 智力的
- 精神病的

副 词:  
mentally",
898,"merlot","/mεə'ləu/","n. 梅乐，梅鹿汁（红葡萄酒名）",
899,"Mermaid","英:/'mɜːmeɪd/ 美:/'mɝmed/","n. 美人鱼（传说中的）；女子游泳健将",
900,"meteor","英:/'miːtɪə/ 美:/'mitɪɚ/","n. 流星",
