#,单词,音标,解释,笔记
613,"collision","英:/kə'lɪʒ(ə)n/ 美:/kə'lɪʒən/","collision UK  [kəˈlɪʒ(ə)n] US  noun [countable/uncountable] [singular collision plural collisions] ★
  1. an accident in which a person or vehicle that is moving crashes into something
      collision between: There was a collision between the French and German boats.
      in collision with: Their car was in collision with an ambulance.
      a head-on collision (=in which the front of one vehicle crashes into the front of another): The stolen car was involved in a head-on collision with a truck.
      Thesaurus: vehicle accidents and breakdownshyponym general and informal words for vehicleshyponym 
  2. a very serious argument
      a head-on collision (=a situation in which agreement is impossible): an attempt to avoid a head-on collision between the different branches of the party
      Thesaurus: arguments and arguingsynonym to arguehyponym 
    2a. a very great difference between ideas or beliefs which means that they do not work together
      Thesaurus: difference and differencessynonym 
    2b. an occasion when two very different things meet or come together
      The affair is described as a collision between personality and principle.
      Thesaurus: difference and differencessynonym 
      Phrase: on a collision course",
614,"colloquial","英:/kə'ləʊkwɪəl/ 美:/kə'lokwɪəl/","colloquial UK  [kəˈləʊkwiəl] US  [kəˈloʊkwiəl] adjective linguistics ★
  used in informal conversation rather than in writing or formal language
      Thesaurus: words used to describe speech stylehyponym to talk continuously and too muchsynonym 
      Derived Word: colloquially",
615,"colour-coded","","colour-coded UK  US  adjective
  marked with different colours to make it easy to see different features or uses
      Thesaurus: general words used to describe colourshyponym",
616,"coma","英:/'kəʊmə/ 美:/'komə/","coma UK  [ˈkəʊmə] US  [ˈkoʊmə] noun [countable] [singular coma plural comas] medical
  a state in which someone is unconscious for a long time because they have been seriously injured or are extremely ill
      Thesaurus: losing and regaining consciousnesssynonym",
617,"combustion","英:/kəm'bʌstʃ(ə)n/ 美:/kəm'bʌstʃən/","combustion UK  [kəmˈbʌstʃ(ə)n] US  noun [uncountable]
  the process of burning
      Thesaurus: general words for firesynonym 
      See also: internal-combustion engine",
618,"come to terms with sth","","",
619,"commercial airline","","",
620,"committee","英:/kə'mɪtɪ/ 美:/kə'mɪti/","committee UK  [kəˈmɪti] US  noun [countable] [singular committee plural committees] ★★★
  a group of people who represent a larger group or organization and are chosen to do a particular job, for example to study something and suggest what action to take can be followed by a singular or plural verb
      a planning/​coordinating/​management committee
      Thesaurus: groups of people who work togetherhyponym 
    a. only before noun relating to a committee
      committee meetings
      Thesaurus: groups of people who work togetherhyponym",
621,"community","英:/kə'mjuːnɪtɪ/ 美:/kə'mjʊnəti/","community UK  [kəˈmjuːnəti] US  [kəˈmjunəti] noun [singular community plural communities] ★★★
  1. [countable] the people who live in an area can be followed by a singular or plural verb
      I wanted to work somewhere where I could serve the community.
      small rural communities that rely on agriculture
      close-knit/​tightly-knit community (=where everyone knows each other): Rock Creek is a close-knit community of several hundred people.
      the wider community (=the community of which a small group is a part): links between the university and the wider community
      Thesaurus: inhabitants, citizens and citizenshiphyponym 
    1a. only before noun relating to a community or to the people in it
      The group visited various youth and community projects in the city.
      community affairs
      Thesaurus: community and the feeling of belonging to a communityhyponym 
    1b. a group of people in a larger society who are the same in some way can be followed by a singular or plural verb
      areas where there are large Jewish communities
      Thesaurus: groups of people with shared interests or aimssynonym general words for groups of peoplehyponym 
    1c. a group of people who live together in the same place, often people who keep themselves separate from society can be followed by a singular or plural verb
      a community of monks
      Thesaurus: groups of people who live together or in the same placehyponym 
  2. the community variant society in general
      Patients who have received this treatment do well when they return to the community.
      Thesaurus: culture, society and civilizationhyponym 
  3. [countable] a group of animals that live in the same place
      Thesaurus: groups of specific living thingshyponym groups of living thingssynonym 
  4. [uncountable] the feeling that you belong to a group and that this is a good thing
      People feel sad about the loss of community.
      sense of community: One of the major goals is to develop a sense of community.
      Thesaurus: community and the feeling of belonging to a communityhyponym 
      See also: care in the community
      Phrase: international community",
622,"compactly","/kəm'pæktli/","compactly adverb
      Thesaurus: using few words in speech or writingsynonym small in sizesynonym 
      Main entry: compact",
623,"companion","英:/kəm'pænjən/ 美:/kəm'pænɪən/","companion UK  [kəmˈpænjən] US  noun [countable] [singular companion plural companions] ★★
  1. someone who is with you
      a travelling companion
      Thesaurus: relationships and membership of social groupssynonym friendship and feelings of friendshipsynonym 
    1a. a friend or pet that you spend a lot of time with
      The dog soon became my constant companion.
      Thesaurus: friends and acquaintancessynonym 
    1b. someone who is paid to live or travel with another person
      Thesaurus: people who travelhyponym 
  2. one of a pair or group of things that are related or can be used together
      Have you seen the companion to this glove?
      A cookery book will be published as a companion volume to his television series.
      Thesaurus: general words for partssynonym 
  3. used in the titles of books for showing that they are about a particular subject
      a copy of
      the Feminist Companion to English Literature
      Thesaurus: types of published bookhyponym parts of booksmeronym",
624,"compatible","英:/kəm'pætɪb(ə)l/ 美:/kəm'pætəbl/","compatible UK  [kəmˈpætəb(ə)l] US  adjective ★
  1. ideas or systems that are compatible can exist together
      compatible with: The proposed new regulation is not compatible with our existing policy.
      Thesaurus: words used to describe thoughts, beliefs and ideassynonym 
  2. computing if one piece of computer equipment or software is compatible with another, they can be used together
      Thesaurus: relating to computer software, systems and equipmenthyponym computer programs and systemshyponym 
  3. likely to have a good relationship because of being similar
      compatible with: You can find yourself married to someone with whom you’re not compatible.
      Thesaurus: similar and similarlysynonym",
625,"complacent","英:/kəm'pleɪs(ə)nt/ 美:/kəm'plesnt/","complacent UK  [kəmˈpleɪs(ə)nt] US  adjective
  too confident and relaxed because you think you can deal with something easily, even though this may not be true
      These results are good, but we cannot afford to be complacent.
      Thesaurus: careless and casualsynonym 
      Derived Word: complacently",
626,"complimentary","英:/kɒmplɪ'ment(ə)rɪ/ 美:/ˌkɑmplɪ'mɛntri/","complimentary UK  [ˌkɒmplɪˈment(ə)ri] US  [ˌkɑmplɪˈment(ə)ri] adjective
  1. if something is complimentary, you do not have to pay for it
      All guests will receive a complimentary bottle of champagne.
      Thesaurus: not costing anythingsynonym 
  2. saying nice things about someone or something
      Mrs Stevens was most complimentary about your work.
      Thesaurus: kind and gentle and sensitivesynonym",
627,"composite","英:/'kɒmpəzɪt/ 美:/kəm'pɑzət/","▪ I. composite 1 UK  [ˈkɒmpəzɪt] US  [kəmˈpɑzɪt] adjective only before noun ★
    made up of separate parts
        Thesaurus: consisting of two or more parts, things or featuressynonym 
▪ II. composite 2 UK  [ˈkɒmpəzɪt] US  [kəmˈpɑzɪt] noun [countable] [singular composite plural composites]
    something that is made up of separate parts or qualities
        Thesaurus: consisting of two or more parts, things or featuressynonym",
628,"compound","英:/'kɒmpaʊnd/ 美:/'kɑmpaʊnd/","▪ I. compound 1 UK  [ˈkɒmpaʊnd] US  [ˈkɑmˌpaʊnd] noun [singular compound plural compounds] ★★
    1. [countable] chemistry a chemical substance that consists of two or more elements that together form a molecule. Each different compound has a fixed ratio of elements. For example the water compound (H 2 O) consists of two hydrogen atoms and one oxygen atom
        Why do chemical compounds behave as they do?
        Water is a compound of hydrogen and oxygen.
        Thesaurus: types of chemical substancehyponym 
      1a. [countable/uncountable] something that consists of two or more substances mixed together
        a herbal compound used for treating headaches
        Thesaurus: mixtures and combinationssynonym 
    2. [countable] a combination of things
        John and Steve working together? That’s a lethal compound.
        Thesaurus: mixtures and combinationssynonym 
    3. [countable] an enclosed area where a particular group of people live, or where people such as soldiers and prisoners can exercise
        Thesaurus: relating to prison lifehyponym 
    4. [countable] linguistics a combination of two or more words that is used as a single word The three different types of compound are noun compounds (for example ‘bus stop’), adjective compounds (for example ‘self-centred’), and verb compounds (for example to ‘wind-surf’) .
        Thesaurus: linguistic terms relating to word formation and phrase buildinghyponym 
▪ II. compound 2 UK  [kəmˈpaʊnd] US  verb [transitive] [present tense I/you/we/they compound he/she/it compounds present participle compounding past tense compounded past participle compounded] ★
    1. to make a problem or difficult situation worse
        Their problems are compounded by the fact that Mary’s just lost her job.
        Thesaurus: to make something worsesynonym 
    2. to mix two or more substances together in order to make a new substance or product
        Thesaurus: to mix things, or to become mixedsynonym 
        Phrase: be compounded of something
▪ III. compound 3 UK  [ˈkɒmpaʊnd] US  [ˈkɑmˌpaʊnd] adjective only before noun
    1. made up of two or more parts
        a compound leaf
        Thesaurus: consisting of two or more parts, things or featuressynonym 
    2. linguistics a compound noun, adjective, or verb is a combination of two or more words
        Thesaurus: describing words, clauses and sentenceshyponym",
